Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.27     0.00    15010     0.00     0.00  std::remove_reference<std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&>::type&& std::move<std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&>(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&)
  0.00      0.27     0.00    15010     0.00     0.00  void std::swap<Node*>(Node*&, Node*&)
  0.00      0.27     0.00    14927     0.00     0.00  __gnu_cxx::__atomic_add_single(int*, int)
  0.00      0.27     0.00    14927     0.00     0.00  __gnu_cxx::__atomic_add_dispatch(int*, int)
  0.00      0.27     0.00    14927     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.27     0.00    14078     0.00     0.00  std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node> const&)
  0.00      0.27     0.00    14078     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.27     0.00    14078     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.27     0.00    13508     0.00     0.00  std::_Sp_counted_ptr<Node*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      0.27     0.00    13508     0.00     0.00  std::_Sp_counted_ptr<Node*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      0.27     0.00    13508     0.00     0.00  std::_Sp_counted_ptr<Node*, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr()
  0.00      0.27     0.00    13508     0.00     0.00  std::_Sp_counted_ptr<Node*, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr()
  0.00      0.27     0.00    13508     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.00      0.27     0.00    12253     0.00     0.00  std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node>&&)
  0.00      0.27     0.00    11689     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.27     0.00    11689     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.27     0.00    10593     0.00     0.00  std::shared_ptr<Node>::shared_ptr<Node>(Node*)
  0.00      0.27     0.00    10593     0.00     0.00  std::_Mutex_base<(__gnu_cxx::_Lock_policy)2>::_Mutex_base()
  0.00      0.27     0.00    10593     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<Node>(Node*)
  0.00      0.27     0.00    10593     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<Node*>(Node*)
  0.00      0.27     0.00    10593     0.00     0.00  std::_Sp_counted_ptr<Node*, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr(Node*)
  0.00      0.27     0.00    10593     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.00      0.27     0.00    10593     0.00     0.00  void std::__enable_shared_from_this_helper<(__gnu_cxx::_Lock_policy)2>(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&, ...)
  0.00      0.27     0.00     9187     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > const*)
  0.00      0.27     0.00     6678     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::end() const
  0.00      0.27     0.00     5182     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::end()
  0.00      0.27     0.00     5182     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::end()
  0.00      0.27     0.00     5018     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned long long, int>*, std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > > >::base() const
  0.00      0.27     0.00     5018     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >::operator==(std::_Rb_tree_const_iterator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > const&) const
  0.00      0.27     0.00     4607     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_end()
  0.00      0.27     0.00     4361     0.00     0.00  std::pair<unsigned long long, int>&& std::forward<std::pair<unsigned long long, int> >(std::remove_reference<std::pair<unsigned long long, int> >::type&)
  0.00      0.27     0.00     4290     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.27     0.00     4290     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.27     0.00     4290     0.00     0.00  std::tuple<unsigned long long const&>&& std::forward<std::tuple<unsigned long long const&> >(std::remove_reference<std::tuple<unsigned long long const&> >::type&)
  0.00      0.27     0.00     4285     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.27     0.00     4285     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.27     0.00     4192     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.27     0.00     4055     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::size() const
  0.00      0.27     0.00     3648     0.00     0.00  std::shared_ptr<Node>& std::forward<std::shared_ptr<Node>&>(std::remove_reference<std::shared_ptr<Node>&>::type&)
  0.00      0.27     0.00     3524     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_begin()
  0.00      0.27     0.00     3523     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >::operator==(std::_Rb_tree_iterator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > const&) const
